Date,Category,Description,Currency,Amount
2024-08-02,Housing,tguyg,Dollars,1000
2024-08-02,Housing,hhjui,Dollars,122
2024-08-06,Housing,im a baby,Dollars,9998
2024-08-06,Housing,im a baby,Dollars,10000
2024-08-06,Housing,I'm need more homes,Dollars,10000
2024-08-06,Transportation,I need a Kia Telluride for me and a 2024 Tesla Model 3 for my wife.,Dollars,83795
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,1000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,1000017
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-07,Savings,I spend money on things that aren't priority.,Dollars,2000000
2024-08-09,Transportation,oewoerigh,Dollars,200000
2024-08-30,Education,hbhfhf,Dollars,100000
2024-08-30,Food,food,Dollars,200
2024-08-30,Transportation,Transportation,Dollars,1000
2024-08-30,Insurance,Car hit,Dollars,10000
2024-08-30,Insurance,Car hit again.,Dollars,100000
2024-08-30,Taxes,I don't know any excuses to pay $100000 anymore.,Dollars,100000
2024-09-06,Transportation,Bus from school.,Dollars,100
